T,CX 120530 (Condenser He4),T,CX 120536 (EV 4),T,CX 120560 (IC),T,CX 120258 (UC)
4.234,321.67,1.033,1045.2,0.313,5327.5,0.259,1738.2
4.234,321.66,1.042,1035.8,0.313,5336.5,0.26,1764.9
4.234,321.66,1.064,1014.2,0.313,5336.6,0.26,1793.9
4.234,321.66,1.069,1010.2,0.313,5337,0.26,1788.8
4.234,321.66,1.074,1005.6,0.313,5336.7,0.26,1731.2
4.234,321.66,1.077,1002.6,0.313,5328.2,0.261,1757.9
4.234,321.66,1.079,1000.4,0.313,5332.4,0.261,1785.8
4.234,321.66,1.082,997.91,0.313,5333.7,0.261,1779.3
4.234,321.67,1.086,994.53,0.313,5326.5,0.261,1727.4
4.234,321.66,1.093,987.5,0.313,5327,0.262,1753.7
4.234,321.66,1.093,987.51,0.313,5325.8,0.262,1780.8
4.234,321.66,1.093,987.52,0.313,5326.8,0.262,1775.1
4.234,321.66,1.093,987.49,0.313,5335.2,0.262,1767.6
4.234,321.66,1.093,987.5,0.313,5337.8,0.262,1721.8
4.234,321.66,1.093,987.51,0.313,5337.5,0.263,1747.1
4.234,321.66,1.093,987.51,0.313,5331.5,0.263,1773.1
4.234,321.66,1.093,987.51,0.313,5337.2,0.263,1761.1
4.234,321.66,1.093,987.52,0.313,5338.4,0.263,1714.3
4.234,321.66,1.093,987.52,0.313,5338.5,0.264,1742.3
4.234,321.66,1.093,987.52,0.313,5338.2,0.264,1764.2
4.234,321.66,1.093,987.54,0.313,5350.5,0.264,1756.6
4.234,321.66,1.093,987.52,0.313,5350.8,0.264,1706.2
4.234,321.66,1.093,987.5,0.313,5350.8,0.265,1727.3
4.234,321.66,1.093,987.51,0.313,5351.2,0.265,1758.7
4.234,321.66,1.093,987.51,0.313,5351.4,0.265,1753.9
4.234,321.66,1.093,987.5,0.313,5352,0.265,1747.7
4.234,321.66,1.093,987.45,0.313,5352.7,0.265,1699.9
4.234,321.66,1.093,987.46,0.313,5335.6,0.266,1720.8
4.234,321.66,1.093,987.47,0.313,5336.9,0.266,1750.7
4.234,321.66,1.093,987.47,0.313,5337,0.266,1744
4.234,321.66,1.093,987.45,0.313,5336.5,0.266,1741.4
4.234,321.66,1.093,987.44,0.313,5335.3,0.267,1711.5
4.234,321.66,1.093,987.42,0.313,5335.3,0.267,1740.7
4.234,321.66,1.093,987.46,0.313,5337,0.267,1736.1
4.234,321.66,1.093,987.45,0.313,5337.1,0.267,1734.4
4.234,321.66,1.093,987.5,0.313,5337.3,0.267,1692.9
4.234,321.66,1.093,987.49,0.313,5338.3,0.267,1678.4
4.234,321.66,1.093,987.5,0.313,5337.2,0.268,1708.8
4.234,321.66,1.093,987.51,0.313,5337.3,0.268,1729.6
4.235,321.64,1.093,987.49,0.313,5337.1,0.268,1729.9
4.235,321.67,1.093,987.47,0.313,5336.9,0.268,1727.4
4.235,321.62,1.093,987.47,0.313,5331.3,0.268,1724.8
4.235,321.63,1.093,987.47,0.313,5331.2,0.268,1686.1
4.235,321.63,1.093,987.46,0.313,5332.1,0.269,1698.2
4.235,321.62,1.093,987.53,0.313,5331.1,0.269,1723.7
4.235,321.63,1.093,987.6,0.313,5334.3,0.269,1725.2
4.235,321.62,1.093,987.58,0.313,5334,0.269,1724.8
4.235,321.63,1.093,987.6,0.313,5331.4,0.269,1722.3
4.235,321.63,1.093,987.61,0.313,5331.1,0.269,1719.4
4.235,321.63,1.093,987.57,0.313,5331,0.269,1678.5
4.235,321.63,1.093,987.57,0.313,5331.2,0.27,1693.4
4.235,321.63,1.093,987.56,0.313,5331,0.27,1701.2
4.235,321.64,1.093,987.58,0.313,5331.5,0.27,1717.2
4.235,321.63,1.093,987.56,0.313,5331.4,0.27,1720.7
4.235,321.63,1.093,987.69,0.313,5331.3,0.27,1717.2
4.235,321.64,1.093,987.67,0.313,5334.8,0.27,1716.7
4.235,321.64,1.093,987.42,0.313,5335.4,0.27,1716.5
4.235,321.64,1.093,987.44,0.313,5335.2,0.27,1714.8
4.235,321.64,1.093,987.64,0.313,5334.4,0.27,1713.8
4.235,321.64,1.093,987.62,0.313,5332.4,0.27,1712.7
4.235,321.64,1.093,987.61,0.313,5334.5,0.27,1670
4.235,321.64,1.093,987.63,0.313,5334.6,0.271,1695.6
4.235,321.64,1.093,987.63,0.313,5333.4,0.271,1701.8
4.235,321.65,1.093,987.56,0.313,5334.1,0.271,1700.6
4.235,321.64,1.093,987.55,0.313,5334,0.271,1696.4
4.235,321.64,1.093,987.57,0.313,5333.6,0.271,1710.3
4.235,321.64,1.093,987.56,0.313,5335,0.271,1711.3
4.235,321.64,1.093,987.54,0.313,5334.5,0.271,1713.2
4.235,321.63,1.093,987.54,0.313,5333.6,0.271,1711
4.235,321.64,1.093,987.53,0.313,5331.3,0.271,1711.9
4.235,321.64,1.093,987.54,0.313,5336.3,0.271,1712.4
4.235,321.64,1.093,987.55,0.313,5336.2,0.271,1710.1
4.235,321.63,1.093,987.57,0.313,5336.9,0.271,1710.8
4.235,321.64,1.093,987.56,0.313,5336.2,0.271,1708.1
4.235,321.65,1.093,987.57,0.313,5331.7,0.271,1709.7
4.235,321.64,1.093,987.56,0.313,5331.7,0.271,1707.3
