T,CX 120530 (Condenser He4),T,CX 120536 (EV 4),T,CX 120560 (IC),T,CX 120258 (UC)
4.235,321.65,1.105,977.23,0.315,5261.7,0.274,1688.8
4.235,321.65,1.105,977.23,0.315,5269.7,0.274,1688.2
4.235,321.66,1.105,977.22,0.315,5268.3,0.274,1687.8
4.235,321.66,1.105,977.23,0.315,5270.1,0.274,1689.6
4.235,321.65,1.105,977.23,0.315,5270,0.274,1689.6
4.235,321.65,1.105,977.23,0.315,5264.1,0.274,1687.1
4.235,321.65,1.105,977.23,0.315,5265.1,0.274,1690.3
4.235,321.65,1.105,977.23,0.315,5268.2,0.274,1688.9
4.235,321.65,1.105,977.24,0.315,5264.3,0.274,1691.1
4.235,321.65,1.105,977.23,0.315,5269.5,0.274,1688.5
4.235,321.66,1.105,977.23,0.315,5270.6,0.274,1691.5
4.235,321.66,1.105,977.22,0.315,5270.4,0.274,1689.8
4.235,321.65,1.105,977.22,0.315,5270.9,0.274,1687.9
4.235,321.66,1.105,977.24,0.315,5270.7,0.274,1687.3
4.235,321.65,1.105,977.23,0.315,5269.9,0.274,1689.5
4.235,321.65,1.105,977.24,0.315,5270.4,0.274,1687.6
4.235,321.66,1.105,977.23,0.315,5270.3,0.274,1687.3
4.235,321.66,1.105,977.23,0.315,5270,0.274,1688.5
4.235,321.66,1.105,977.2,0.315,5270,0.274,1690.6
4.235,321.66,1.105,977.2,0.315,5269.4,0.274,1690.9
4.235,321.65,1.105,977.19,0.315,5269.5,0.274,1688.3
4.235,321.65,1.105,977.19,0.315,5269.2,0.274,1688.6
4.235,321.66,1.105,977.2,0.315,5268.4,0.274,1690.7
4.235,321.65,1.105,977.19,0.315,5269.8,0.274,1688.4
4.235,321.66,1.105,977.21,0.315,5270.8,0.274,1687.3
4.235,321.66,1.105,977.18,0.315,5269.3,0.274,1686.6
4.235,321.65,1.105,977.2,0.315,5269,0.274,1689
4.235,321.66,1.105,977.19,0.315,5271.1,0.274,1687.5
4.235,321.66,1.105,977.2,0.315,5270.2,0.274,1690.2
4.235,321.66,1.105,977.2,0.315,5270.1,0.274,1688.4
4.235,321.66,1.105,977.21,0.315,5270.3,0.274,1690.3
4.235,321.66,1.105,977.21,0.315,5270.1,0.274,1689
4.235,321.65,1.105,977.19,0.315,5270,0.274,1689.6
4.235,321.65,1.105,977.2,0.315,5270.1,0.274,1688.6
4.235,321.66,1.105,977.19,0.315,5269.9,0.274,1689.7
4.235,321.65,1.105,977.19,0.315,5269.9,0.274,1687.2
4.235,321.66,1.105,977.19,0.315,5270.9,0.274,1687.5
4.235,321.65,1.105,977.2,0.315,5271.1,0.274,1688.3
4.235,321.65,1.105,977.2,0.315,5270.6,0.274,1687.2
4.235,321.66,1.105,977.2,0.315,5271,0.274,1687.8
4.235,321.66,1.105,977.21,0.315,5270.8,0.274,1689
4.235,321.65,1.105,977.2,0.315,5270.9,0.274,1688.2
4.235,321.65,1.105,977.2,0.315,5270.6,0.274,1688.9
4.235,321.65,1.105,977.2,0.315,5270.3,0.274,1690.3
4.235,321.65,1.105,977.2,0.315,5269.9,0.274,1689.6
4.235,321.66,1.105,977.21,0.315,5257.9,0.274,1689.5
4.235,321.65,1.105,977.2,0.315,5255.7,0.274,1687.6
4.235,321.66,1.105,977.22,0.315,5255.3,0.274,1688.5
4.235,321.65,1.105,977.19,0.315,5257.1,0.274,1686.1
4.235,321.65,1.105,977.21,0.315,5255.7,0.274,1689.7
4.235,321.65,1.105,977.21,0.315,5255.7,0.274,1690.2
4.235,321.66,1.105,977.19,0.315,5260.2,0.274,1690.5
4.235,321.66,1.105,977.2,0.315,5261.5,0.274,1687.9
4.235,321.66,1.105,977.2,0.315,5255.3,0.274,1690.3
4.235,321.66,1.105,977.19,0.315,5256.8,0.274,1690.5
4.235,321.65,1.105,977.05,0.315,5256.4,0.274,1688
4.235,321.66,1.105,977.05,0.315,5256.4,0.274,1688.6
4.235,321.64,1.105,977.05,0.315,5255.9,0.274,1688.6
4.235,321.66,1.105,977.05,0.315,5260.4,0.274,1686.2
4.235,321.65,1.105,977.05,0.315,5259.8,0.274,1686.6
4.235,321.65,1.105,977.05,0.315,5255.9,0.274,1687.1
4.235,321.65,1.105,977.05,0.315,5275.3,0.274,1687.3
4.235,321.65,1.105,977.06,0.315,5255.9,0.274,1687.6
4.235,321.66,1.105,977.04,0.315,5279.6,0.274,1688.2
4.235,321.65,1.105,977.03,0.315,5282.4,0.274,1690.2
4.235,321.65,1.105,977.02,0.315,5280.3,0.274,1688.8
4.235,321.65,1.105,977.02,0.315,5279.1,0.274,1688.4
4.235,321.65,1.105,977.01,0.315,5281.1,0.274,1689.1
4.235,321.65,1.105,977.02,0.315,5281.4,0.274,1686.2
4.235,321.64,1.105,977.03,0.315,5283.3,0.274,1686.1
4.235,321.65,1.105,977.05,0.315,5282,0.274,1687.4
4.235,321.64,1.105,977.04,0.315,5280.3,0.274,1688
4.235,321.66,1.105,977.03,0.315,5255.6,0.274,1688.8
4.235,321.64,1.105,977.03,0.315,5255.3,0.274,1690.4
4.235,321.65,1.105,977.04,0.315,5256,0.274,1688.9
4.235,321.65,1.105,977.05,0.315,5256,0.274,1687.8
4.235,321.65,1.105,977.06,0.315,5255.1,0.274,1688
4.235,321.65,1.105,977.05,0.315,5280,0.274,1688.4
4.235,321.65,1.105,977.06,0.315,5254.8,0.274,1688.9
4.235,321.64,1.105,977.05,0.315,5255.8,0.274,1686.2
4.235,321.65,1.105,977.05,0.315,5256.4,0.274,1688.4
4.235,321.64,1.105,977.06,0.315,5272.1,0.274,1686.5
4.235,321.64,1.105,977.06,0.315,5271.5,0.274,1687.4
4.235,321.64,1.105,977.06,0.315,5272,0.274,1687.2
4.235,321.65,1.105,977.06,0.315,5272.8,0.274,1689.9
4.235,321.65,1.105,977.07,0.315,5274,0.274,1687.9
4.235,321.64,1.105,977.07,0.315,5273.9,0.274,1688.7
4.235,321.65,1.105,977.05,0.315,5271.9,0.274,1688
4.235,321.64,1.105,977.05,0.315,5273,0.274,1686.8
4.235,321.64,1.105,977.06,0.315,5282.6,0.274,1688.7
4.235,321.64,1.105,977.06,0.315,5274.1,0.274,1686.6
4.235,321.64,1.105,977.07,0.315,5274.6,0.274,1685.9
4.235,321.64,1.105,977.06,0.315,5277.3,0.274,1689.2
4.235,321.64,1.105,977.07,0.315,5275.9,0.274,1689.5
4.235,321.64,1.105,977.02,0.315,5282.6,0.274,1689.8
4.235,321.64,1.105,977.01,0.315,5281,0.274,1689.8
4.235,321.64,1.105,977.01,0.315,5283.7,0.274,1690.5
4.235,321.63,1.105,977.02,0.315,5284.2,0.274,1690.1
4.235,321.64,1.105,977.03,0.315,5272.6,0.274,1687.4
4.235,321.64,1.105,977.02,0.315,5256,0.274,1687
4.235,321.63,1.105,977.03,0.315,5256.8,0.274,1687.3
4.235,321.64,1.105,977.02,0.315,5256,0.274,1688.1
4.235,321.64,1.105,977.01,0.315,5255.8,0.274,1687.6
4.235,321.64,1.105,977.01,0.315,5256.7,0.274,1689.1
4.235,321.64,1.105,976.99,0.315,5256.3,0.274,1689.2
4.235,321.64,1.105,976.99,0.315,5256.5,0.274,1687
4.235,321.63,1.105,976.98,0.315,5256.6,0.274,1689.6
4.235,321.63,1.105,976.99,0.315,5255.9,0.274,1688.7
4.235,321.63,1.105,977.01,0.315,5256,0.274,1688.4
4.235,321.63,1.105,977,0.315,5256.2,0.274,1689
4.235,321.63,1.105,977,0.315,5272.3,0.274,1689.1
4.235,321.64,1.105,977.01,0.315,5259.6,0.274,1688.7
4.235,321.63,1.105,977.01,0.315,5256.2,0.274,1686.5
4.235,321.63,1.105,977.02,0.315,5255.4,0.274,1686.8
4.235,321.63,1.105,977.02,0.315,5256.2,0.274,1686.8
4.235,321.62,1.105,977.03,0.315,5256.2,0.274,1689.7
4.235,321.63,1.105,977,0.315,5273.4,0.274,1687.5
4.235,321.63,1.105,977.01,0.315,5273.3,0.274,1687.8
4.235,321.63,1.105,977.02,0.315,5273.3,0.274,1689.8
4.235,321.63,1.105,977.01,0.315,5273.5,0.274,1688
4.235,321.63,1.105,977.03,0.315,5270.9,0.274,1690
4.235,321.63,1.105,977.03,0.315,5271,0.274,1687
4.235,321.63,1.105,977.03,0.315,5273.5,0.274,1685.9
4.235,321.63,1.105,977.01,0.315,5273.3,0.274,1685.7
4.235,321.62,1.105,977.02,0.315,5273.3,0.274,1688.6
4.235,321.63,1.105,977.01,0.315,5273.1,0.274,1688.1
4.235,321.62,1.105,977.03,0.315,5273.5,0.274,1687.9
4.235,321.63,1.105,977.02,0.315,5270.7,0.274,1689.3
4.235,321.63,1.105,976.99,0.315,5271.2,0.274,1688.3
4.235,321.62,1.105,977.01,0.315,5273.2,0.274,1687.5
4.235,321.63,1.105,976.99,0.315,5272.8,0.274,1688.4
4.235,321.62,1.105,977.01,0.315,5273,0.274,1687.3
4.235,321.62,1.105,976.99,0.315,5273.5,0.274,1686.2
4.235,321.63,1.105,977.04,0.315,5271.5,0.274,1685.6
4.235,321.63,1.105,977.03,0.315,5270.6,0.274,1687.8
4.235,321.63,1.105,977.04,0.315,5271.2,0.274,1685.9
4.235,321.63,1.105,977.04,0.315,5271.3,0.274,1688.5
4.235,321.62,1.105,977.04,0.315,5271.1,0.274,1689.3
4.235,321.62,1.105,977.04,0.315,5271.2,0.274,1689
4.235,321.63,1.105,977.04,0.315,5270.9,0.274,1689.2
4.235,321.62,1.105,977.04,0.315,5271.3,0.274,1687.3
4.235,321.63,1.105,977.04,0.315,5271.2,0.274,1687.8
4.235,321.63,1.105,977.03,0.315,5272.9,0.274,1689.3
4.235,321.63,1.105,977.04,0.315,5271.3,0.274,1686.2
4.235,321.63,1.105,977.04,0.315,5273,0.274,1687.1
4.235,321.63,1.105,977.04,0.315,5271.2,0.274,1687.7
4.235,321.62,1.105,977.02,0.315,5271.4,0.274,1688.3
4.235,321.63,1.105,977.05,0.315,5271.4,0.274,1686.8
4.235,321.63,1.105,977.04,0.315,5273.1,0.274,1689.6
4.235,321.62,1.105,977.04,0.315,5273.2,0.274,1688.3
4.235,321.63,1.105,977.04,0.315,5273.3,0.274,1689.5
4.235,321.63,1.105,977.03,0.315,5271.4,0.274,1689.8
4.235,321.63,1.105,977.04,0.315,5271.9,0.274,1689.8
4.235,321.63,1.105,977.06,0.315,5272,0.274,1686.1
4.235,321.63,1.105,977.07,0.315,5271.7,0.274,1686.4
4.235,321.63,1.105,977.06,0.315,5271.9,0.274,1687.8
4.235,321.63,1.105,977.06,0.315,5271.6,0.274,1687.5
4.235,321.63,1.105,977.06,0.315,5271.9,0.274,1689.1
4.235,321.63,1.105,977.07,0.315,5271.6,0.274,1687
4.235,321.62,1.105,977.07,0.315,5271.6,0.274,1688.7
4.235,321.63,1.105,977.06,0.315,5271.7,0.274,1686.9
4.235,321.63,1.105,977.07,0.315,5271.5,0.274,1687.1
4.235,321.63,1.105,977.06,0.315,5271.6,0.274,1687.6
4.235,321.63,1.105,977.04,0.315,5271.2,0.274,1689.9
4.235,321.64,1.105,977.05,0.315,5271.5,0.274,1688.8
4.235,321.62,1.105,977.05,0.315,5271.6,0.274,1688.1
4.235,321.62,1.105,977.05,0.315,5271.8,0.274,1685.2
4.235,321.62,1.105,977.05,0.315,5271.7,0.274,1685.3
4.235,321.63,1.105,977.06,0.315,5271.2,0.274,1688.6
4.235,321.64,1.105,977.05,0.315,5271.4,0.274,1686.1
4.235,321.63,1.105,977.05,0.315,5273.3,0.274,1688.8
4.235,321.63,1.105,977.04,0.315,5272.7,0.274,1689.5
4.235,321.63,1.105,977.04,0.315,5271.4,0.274,1686.9
4.235,321.63,1.105,977.05,0.315,5271.2,0.274,1688.2
4.235,321.63,1.105,977.05,0.315,5270.7,0.274,1689.6
4.235,321.63,1.105,977.04,0.315,5271.2,0.274,1686.3
4.235,321.63,1.105,977.04,0.315,5272.9,0.274,1687.2
4.235,321.63,1.105,977.05,0.315,5271.2,0.274,1684.4
4.235,321.63,1.105,977.04,0.315,5271.3,0.274,1685.2
4.235,321.63,1.105,977.04,0.315,5271.5,0.274,1688.3
4.235,321.63,1.105,977.04,0.315,5271.5,0.274,1688.5
4.235,321.63,1.105,977.05,0.315,5270.7,0.274,1686.6
4.235,321.63,1.105,977.05,0.315,5270.8,0.274,1689.2
4.235,321.63,1.105,977.05,0.315,5271.7,0.274,1689.5
4.235,321.64,1.105,977.06,0.315,5271.7,0.274,1689.5
4.235,321.63,1.105,977.07,0.315,5271.6,0.274,1687.1
4.235,321.64,1.105,977.06,0.315,5271.8,0.274,1686.8
4.235,321.64,1.105,977.04,0.315,5272.3,0.274,1687.8
4.235,321.64,1.105,977.05,0.315,5272.4,0.274,1684.7
4.235,321.63,1.105,977.05,0.315,5272.9,0.274,1685.2
4.235,321.63,1.105,977.06,0.315,5272.4,0.274,1688.4
4.235,321.63,1.105,977.04,0.315,5272.7,0.274,1686.1
4.235,321.64,1.105,977.03,0.315,5272.3,0.274,1688.9
4.235,321.63,1.105,977.04,0.315,5272.6,0.274,1686.1
4.235,321.63,1.105,977.04,0.315,5272.7,0.274,1688.9
4.235,321.63,1.105,977.04,0.315,5272.2,0.274,1688.7
4.235,321.63,1.105,977.04,0.315,5273.4,0.274,1686.4
4.235,321.64,1.105,977.04,0.315,5272.5,0.274,1685.8
4.235,321.64,1.105,977.02,0.315,5273.2,0.274,1684.7
4.235,321.64,1.105,977.04,0.315,5273.2,0.274,1687.5
4.235,321.63,1.105,977.03,0.315,5272.5,0.274,1686.5
4.235,321.63,1.105,977.03,0.315,5272.8,0.274,1685.6
4.235,321.64,1.105,977.04,0.315,5273,0.274,1685.5
4.235,321.64,1.105,977.05,0.315,5273.2,0.274,1688.7
4.235,321.64,1.105,977.05,0.315,5272.6,0.274,1689.4
4.235,321.64,1.105,977.06,0.315,5273.3,0.274,1689.2
4.235,321.64,1.105,977.05,0.315,5272.4,0.274,1686.6
4.235,321.64,1.105,977.04,0.315,5272.9,0.274,1689.7
4.235,321.64,1.105,977.04,0.315,5273,0.274,1685.7
4.235,321.63,1.105,977.05,0.315,5272.5,0.274,1686.3
4.235,321.63,1.105,977.03,0.315,5272.6,0.274,1686.8
4.235,321.63,1.105,976.98,0.315,5272.8,0.274,1687.6
4.235,321.64,1.105,976.96,0.315,5271.2,0.274,1688.4
4.235,321.63,1.105,976.97,0.315,5273,0.274,1688
4.235,321.64,1.105,976.97,0.315,5272.5,0.274,1685.9
4.235,321.64,1.105,976.96,0.315,5272.3,0.274,1686.2
4.235,321.64,1.105,976.97,0.315,5272.1,0.274,1686
4.235,321.64,1.105,976.96,0.315,5273.7,0.274,1686.9
4.235,321.63,1.105,976.98,0.315,5271.7,0.274,1689.1
4.235,321.64,1.105,976.96,0.315,5271.8,0.274,1685.5
4.235,321.64,1.105,976.98,0.315,5273,0.274,1686.7
4.235,321.65,1.105,976.98,0.315,5271.8,0.274,1686.3
4.235,321.63,1.105,976.98,0.315,5272.6,0.274,1684.5
4.235,321.64,1.105,976.97,0.315,5272.4,0.274,1686.4
4.235,321.65,1.105,976.97,0.315,5272.3,0.274,1686.5
4.235,321.64,1.105,976.96,0.315,5273,0.274,1687.4
4.235,321.64,1.105,976.98,0.315,5271.9,0.274,1688.1
4.235,321.64,1.105,976.98,0.315,5272.3,0.274,1688.2
4.235,321.64,1.105,976.99,0.315,5272.4,0.274,1687
4.235,321.64,1.105,976.98,0.315,5272.6,0.274,1688.1
4.235,321.64,1.105,976.96,0.315,5272.6,0.274,1685.8
4.235,321.64,1.105,976.97,0.315,5272.5,0.274,1686.6
4.235,321.64,1.105,976.98,0.315,5271.6,0.274,1683.2
4.235,321.64,1.105,976.97,0.315,5270.9,0.274,1684.6
4.235,321.64,1.105,976.96,0.315,5271.2,0.274,1687.7
4.235,321.64,1.105,976.97,0.315,5270.9,0.274,1685.2
4.235,321.64,1.105,976.97,0.315,5272.3,0.274,1688.2
4.235,321.64,1.105,976.96,0.315,5272.5,0.274,1685.4
4.235,321.64,1.105,976.97,0.315,5271,0.274,1685.9
4.235,321.64,1.105,976.98,0.315,5272.8,0.274,1686.1
4.235,321.65,1.105,976.98,0.315,5272.3,0.274,1688.8
4.235,321.65,1.105,976.96,0.315,5272.4,0.274,1685.9
4.235,321.65,1.105,976.97,0.315,5272.8,0.274,1684.3
4.235,321.63,1.105,976.96,0.315,5272.6,0.274,1685.4
4.235,321.64,1.105,976.98,0.315,5272.5,0.274,1686.3
4.235,321.64,1.105,976.97,0.315,5272.4,0.274,1684.5
4.235,321.64,1.105,976.97,0.315,5273.2,0.274,1685.1
4.235,321.64,1.105,976.97,0.315,5272.6,0.274,1687.4
4.235,321.65,1.105,976.96,0.315,5273,0.274,1684.8
4.235,321.64,1.105,976.97,0.315,5272.3,0.274,1687.5
4.235,321.64,1.105,976.95,0.315,5272.3,0.274,1685.7
4.235,321.64,1.105,976.96,0.315,5272.5,0.274,1686.8
4.235,321.64,1.105,976.96,0.315,5272.4,0.274,1686.9
4.235,321.63,1.105,976.96,0.315,5272.3,0.274,1685.4
4.235,321.64,1.105,976.96,0.315,5272.6,0.274,1683.7
4.235,321.65,1.105,976.97,0.315,5272.2,0.274,1683.4
4.235,321.64,1.105,976.97,0.315,5272.4,0.274,1684
4.235,321.65,1.105,976.97,0.315,5271.9,0.274,1686.8
4.235,321.64,1.105,976.96,0.315,5271.5,0.274,1684.8
4.235,321.64,1.105,976.95,0.315,5271.1,0.274,1687.6
4.235,321.64,1.105,976.93,0.315,5271.3,0.274,1685.5
4.235,321.64,1.105,976.93,0.315,5271.5,0.274,1688
4.235,321.64,1.105,977.64,0.315,5271.3,0.274,1685.1
4.235,321.64,1.105,976.94,0.315,5271,0.274,1687.7
4.235,321.64,1.105,976.93,0.315,5270.8,0.274,1686.5
4.235,321.65,1.105,976.95,0.315,5271,0.274,1684.4
4.235,321.64,1.105,976.94,0.315,5271.5,0.274,1684.9
4.235,321.64,1.105,976.93,0.315,5271,0.274,1687
4.235,321.63,1.105,976.95,0.315,5271.2,0.274,1687
4.235,321.65,1.105,976.96,0.315,5270.5,0.274,1684.7
4.235,321.64,1.105,976.96,0.315,5271,0.274,1685
4.235,321.64,1.105,976.98,0.315,5270.6,0.274,1685.2
4.235,321.65,1.105,976.97,0.315,5271.3,0.274,1685.3
4.235,321.64,1.105,976.96,0.315,5271.2,0.274,1685.4
4.235,321.64,1.105,976.98,0.315,5270.4,0.274,1688.1
4.235,321.64,1.105,976.97,0.315,5271.4,0.274,1685.7
4.235,321.64,1.105,976.97,0.315,5271,0.274,1684.5
4.235,321.65,1.105,976.97,0.315,5271.2,0.274,1683.4
4.235,321.65,1.105,976.96,0.315,5271.2,0.274,1686.7
4.235,321.65,1.105,976.96,0.315,5271.3,0.274,1684.3
4.235,321.64,1.105,976.96,0.315,5272.6,0.274,1687.3
4.235,321.65,1.105,976.97,0.315,5272.5,0.274,1687.2
4.235,321.64,1.105,976.96,0.315,5271.4,0.274,1684.8
4.235,321.65,1.105,976.95,0.315,5272.1,0.274,1685.2
4.235,321.65,1.105,976.96,0.315,5271.1,0.274,1687.9
4.235,321.65,1.105,976.95,0.315,5270.7,0.274,1685.4
4.235,321.64,1.105,976.96,0.315,5270.9,0.274,1685.7
4.235,321.65,1.105,976.97,0.315,5271.4,0.274,1684.7
4.235,321.65,1.105,976.97,0.315,5271.1,0.274,1686.4
4.235,321.64,1.105,976.96,0.315,5271.1,0.274,1686
4.235,321.64,1.105,976.97,0.315,5270.8,0.274,1686
4.235,321.64,1.105,976.98,0.315,5271.1,0.274,1683.6
4.235,321.65,1.105,976.98,0.315,5271.1,0.274,1684.3
4.235,321.65,1.105,976.97,0.315,5270.9,0.274,1685.3
4.235,321.65,1.105,976.97,0.315,5271.4,0.274,1686.6
4.235,321.65,1.105,976.97,0.315,5271.2,0.274,1685.1
4.235,321.64,1.105,976.97,0.315,5271.5,0.274,1684.9
4.235,321.64,1.105,976.98,0.315,5271.3,0.274,1686.6
4.235,321.65,1.105,976.98,0.315,5271.1,0.274,1686.1
4.235,321.64,1.105,976.97,0.315,5270.9,0.274,1685.5
4.235,321.64,1.105,976.97,0.315,5271.1,0.274,1683.3
4.235,321.64,1.105,976.98,0.315,5270.9,0.274,1686
4.235,321.64,1.105,976.98,0.315,5271.3,0.274,1683.6
4.235,321.65,1.105,976.97,0.315,5271.1,0.274,1684.2
4.235,321.65,1.105,976.96,0.315,5271.1,0.274,1684.3
4.235,321.63,1.105,976.98,0.315,5271.2,0.274,1687.5
4.235,321.65,1.105,976.97,0.315,5271.4,0.274,1685.2
4.235,321.64,1.105,976.96,0.315,5271.4,0.274,1687.2
4.235,321.63,1.105,976.99,0.315,5271.6,0.274,1687.5
4.235,321.64,1.105,976.99,0.315,5271,0.274,1684.6
4.235,321.64,1.105,977,0.315,5270.9,0.274,1683.4
4.235,321.64,1.105,976.99,0.315,5271,0.274,1683.4
4.235,321.64,1.105,977,0.315,5271,0.274,1683.4
4.235,321.65,1.105,977,0.315,5270.5,0.274,1686
4.235,321.64,1.105,977,0.315,5271.5,0.274,1685.8
4.235,321.64,1.105,976.99,0.315,5271,0.274,1684.3
4.235,321.64,1.105,977,0.315,5270.7,0.274,1685.4
4.235,321.64,1.105,977,0.315,5270.6,0.274,1687
4.235,321.65,1.105,976.98,0.315,5270.7,0.274,1687.4
4.235,321.63,1.105,976.98,0.315,5270.8,0.274,1685.4
4.235,321.64,1.105,976.99,0.315,5271.5,0.274,1685.6
4.235,321.64,1.105,976.99,0.315,5270.9,0.274,1685.7
4.235,321.64,1.105,976.99,0.315,5270.8,0.274,1682.9
4.235,321.64,1.105,976.99,0.315,5270.8,0.274,1682.7
4.235,321.65,1.105,976.99,0.315,5270.7,0.274,1684
4.235,321.64,1.105,976.99,0.315,5270.9,0.274,1683.6
4.235,321.64,1.105,976.99,0.315,5271,0.274,1684.8
4.235,321.63,1.105,976.98,0.315,5270.8,0.274,1686.7
4.235,321.64,1.105,976.96,0.315,5271.1,0.274,1684.1
4.235,321.64,1.105,976.98,0.315,5271,0.274,1684.8
4.235,321.65,1.105,976.95,0.315,5271.3,0.274,1687.1
4.235,321.64,1.105,976.95,0.315,5271.6,0.274,1687.1
4.235,321.64,1.105,976.97,0.315,5271.3,0.274,1683.9
4.235,321.64,1.105,976.98,0.315,5272,0.274,1684.7
4.235,321.64,1.105,976.97,0.315,5271.1,0.274,1685.3
4.235,321.64,1.105,976.97,0.315,5271.4,0.274,1685.2
4.235,321.64,1.105,976.97,0.315,5271.4,0.274,1683.3
4.235,321.63,1.105,976.96,0.315,5270.9,0.274,1686.1
4.235,321.63,1.105,976.97,0.315,5271.8,0.274,1686.2
4.235,321.64,1.105,976.96,0.315,5271.5,0.274,1684.2
4.235,321.63,1.105,976.97,0.315,5272.7,0.274,1684.3
4.235,321.64,1.105,976.97,0.315,5272.8,0.274,1684.4
4.235,321.64,1.105,976.97,0.315,5272.1,0.274,1687.6
4.235,321.64,1.105,976.96,0.315,5271.8,0.274,1685.7
4.235,321.63,1.105,976.95,0.315,5272.4,0.274,1686.7
4.235,321.64,1.105,976.96,0.315,5271.7,0.274,1682.7
4.235,321.63,1.105,976.96,0.315,5271.4,0.274,1685.3
4.235,321.64,1.105,976.97,0.315,5271.4,0.274,1683
4.235,321.64,1.105,976.98,0.315,5270.7,0.274,1683.5
4.235,321.64,1.105,976.97,0.315,5271.6,0.274,1686.1
4.235,321.64,1.105,976.98,0.315,5271.4,0.274,1684.6
4.235,321.64,1.105,976.98,0.315,5271.4,0.274,1686.1
4.235,321.64,1.105,976.98,0.315,5271.1,0.274,1685.9
4.235,321.64,1.105,976.98,0.315,5271.2,0.274,1687.2
4.235,321.64,1.105,976.98,0.315,5271.4,0.274,1686.5
4.235,321.63,1.105,976.99,0.315,5271,0.274,1687.1
4.235,321.64,1.105,976.99,0.315,5271.4,0.274,1685.4
4.235,321.64,1.105,976.99,0.315,5271.1,0.274,1681.9
4.235,321.64,1.105,976.97,0.315,5271.5,0.274,1681.6
4.235,321.64,1.105,976.97,0.315,5271.4,0.274,1684.5
4.235,321.63,1.105,976.96,0.315,5271.1,0.274,1685.9
4.235,321.63,1.105,976.97,0.315,5271.3,0.274,1683.1
4.235,321.63,1.105,976.97,0.315,5271.6,0.274,1683
4.235,321.63,1.105,976.98,0.315,5271.2,0.274,1683.4
4.235,321.63,1.105,976.98,0.315,5272.5,0.274,1683.9
4.235,321.63,1.105,976.97,0.315,5271.9,0.274,1686.2
4.235,321.63,1.105,976.96,0.315,5271.8,0.274,1686.3
4.235,321.63,1.105,977.07,0.315,5272.4,0.274,1682.5
4.235,321.63,1.105,977.48,0.315,5271.7,0.274,1683.3
4.235,321.63,1.105,977.49,0.315,5271.9,0.274,1683.6
4.235,321.63,1.105,977.48,0.315,5272,0.274,1681.6
4.235,321.64,1.105,977.49,0.315,5271.6,0.274,1684.8
4.235,321.63,1.105,977.5,0.315,5271.8,0.274,1683.7
4.235,321.64,1.105,977.51,0.315,5272.4,0.274,1685.6
4.235,321.63,1.105,977.51,0.315,5271.8,0.274,1685.9
4.235,321.63,1.105,977.5,0.315,5272.2,0.274,1685.3
4.235,321.62,1.105,977.5,0.315,5272.1,0.274,1684.6
4.235,321.63,1.105,977.49,0.315,5271.7,0.274,1683.5
4.235,321.63,1.105,977.5,0.315,5272.2,0.274,1684.5
4.235,321.63,1.105,977.5,0.315,5272.1,0.274,1684
4.235,321.63,1.105,977.52,0.315,5272,0.274,1681.5
4.235,321.63,1.105,977.51,0.315,5272.4,0.274,1684.2
4.235,321.63,1.105,977.48,0.315,5272.2,0.274,1682.2
4.235,321.63,1.105,977.5,0.315,5272.7,0.274,1682.2
4.235,321.63,1.105,977.49,0.315,5273,0.274,1682.1
4.235,321.63,1.105,977.49,0.315,5272.6,0.274,1683
4.235,321.63,1.105,977.49,0.315,5272.7,0.274,1682.9
4.235,321.63,1.105,977.5,0.315,5272.5,0.274,1685.7
4.235,321.63,1.105,977.49,0.315,5272.4,0.274,1686
4.235,321.63,1.105,977.48,0.315,5272.7,0.274,1684.6
4.235,321.63,1.105,977.47,0.315,5272.8,0.274,1681.2
4.235,321.63,1.105,977.48,0.315,5272.4,0.274,1682.3
4.235,321.63,1.105,977.47,0.315,5271.9,0.274,1684.4
4.235,321.63,1.105,977.48,0.315,5271.6,0.274,1681.8
4.235,321.63,1.105,977.48,0.315,5271.9,0.274,1685
4.235,321.63,1.105,977.47,0.315,5272,0.274,1684.3
4.235,321.62,1.105,977.48,0.315,5272.8,0.274,1685.5
4.235,321.63,1.105,977.47,0.315,5272.5,0.274,1685.7
4.235,321.62,1.105,977.49,0.315,5272.8,0.274,1682.7
4.235,321.62,1.105,977.49,0.315,5272.6,0.274,1685.2
4.235,321.63,1.105,977.5,0.315,5272.7,0.274,1685.1
4.235,321.62,1.105,977.5,0.315,5272.3,0.274,1681.5
4.235,321.62,1.105,977.48,0.315,5272.2,0.274,1681.9
4.235,321.62,1.105,977.49,0.315,5272.4,0.274,1684.6
4.235,321.63,1.105,977.47,0.315,5272.6,0.274,1684.6
4.235,321.63,1.105,977.48,0.315,5272.3,0.274,1682.5
4.235,321.63,1.105,977.49,0.315,5272.4,0.274,1685.1
4.235,321.62,1.105,977.51,0.315,5272.4,0.274,1685.1
4.235,321.62,1.105,977.52,0.315,5272.2,0.274,1685.4
4.235,321.62,1.105,977.53,0.315,5273.3,0.274,1682.8
4.235,321.62,1.105,977.53,0.315,5273.5,0.274,1682.6
4.235,321.62,1.105,977.51,0.315,5273.1,0.274,1684.2
4.235,321.62,1.105,977.52,0.315,5273.1,0.274,1680.7
4.235,321.62,1.105,977.5,0.315,5273.4,0.274,1682.5
4.235,321.63,1.105,977.51,0.315,5272.3,0.274,1680.2
